yöndeki görüşüne,yö görüş
oluşan inanç,oluşa inanç
bozmayı gerektirmiş,bozma gerektir
sınırlama getirilmiş,sınırla getiril
geriye yürümez,geri yürümez
v italya,v italya
scoppola v,scoppol v
any mah,any mah
edilmekle evrak,edilmek evrak
hakiminin takdirinde,hakim takdir
oluşturmak istediği,oluşturmak istedik
görüşülüp düşünüldü,görüşülüp düşünül
resmi gazetede,resmi gazete
başsavcılığına tevdiine,başsavcılık tevdiin
mahkemelerine emek,mahkeme emek
müsait olmayacak,müsait olmayacak
belirlenmiştir amaç,belirle amaç
duruşmanın yapılmamış,duruşma yapılmamış
yapılmamış sayılamayacağı,yapılmamış sayılamayacak
adil yargılanma,adil yargılanma
insan hakları,in hak
dört aydan,dört ay
çoğunluğun aksi,çoğunluk aksi
yürürlüğe giren,yürürlük gire
miktarının dört,miktar dört
yargılamayı gerektirmediğinden,yargılama gerektirmedik
zamanaşımına uğrama,zamanaşım uğra
teşvik etmek,teşvik etmek
durumda mutlak,dur mutlak
verilmediği sürece,verilmedik süreç
değerlendirilmesinde zorunluluk,değerlendirilme zorunluluk
şekline dönüşmüştür,şekl dönüş
konuyu ayrıntılı,konu ayrıntıl
ifadeyle lehe,ifade leh
açıklanmasının geri,açıklanma ger
mezkur ihbarnamede,mezkur ihbarname
olunduğu anlaşıldı,olunduk anlaşıl
silahtan sayılan,silah sayıla
trafik kazasından,trafik kaza
doğurmaya elverişli,doğurma elverişli
mahalli mahkemece,mahalli mahkemeç
taraflarının iradesine,taraf irade
olamayacağı gözden,olamayacak göz
yürürlükte bulunan,yürürlük buluna
arama hürriyeti,ara hürriyet
süreklilik gösteren,süreklilik göstere
gösterilen gerekçeye,gösterile gerekçe
takdirine gösterilen,takdir gösterile
ele alınmasının,el alınma
seçimlik cezalardan,seçimlik ceza
katılmanın hükümsüz,katılma hükümsüz
sonuca etkili,sonuç etkil
aksi yöndeki,aksi yö
nedeni yapılmamıştır,nede yapılmamış
suça sürüklenen,suç sürüklene
uygulanmaya başladığı,uygulanma başladık
kısmın tamamı,kısm tama
oy birliğiyle,oy birlik
açıklanan delillere,açıklana delil
üst sınırı,üst sınır
ileri sürülen,i sürüle
hukuki durumunun,hukuki durum
ön şartın,ön şar
takdirin denetime,takdir denet
denetime tabii,denet tabii
delillere mahkemenin,delil mahkeme
zamanaşımını kesen,zamanaşım kese
yanılgıya düşülerek,yanılgı düşülerek
gerçek kişilere,gerçek kişi
mülkiyet hakkına,mülkiyet hakk
belgede sahtecilik,belge sahtecilik
altı aya,al a
kararları geriye,karar geri
uygulanarak sonuçlandırılan,uygulanarak sonuçlandırıla
sonucunda oluşan,sonuç oluşa
sözleşmesinin kanunsuz,sözleşme kanunsuz
şeklinde sınırlama,şekl sınırla
eylemine uyan,eylem uya
iradelerinin çelişmesi,irade çelişmes
batına nafiz,bat nafiz
vasfında yanılgıya,vasf yanılgı
etkileme derecelerinin,etkile derece
hazır edilmeksizin,hazır edilmeksiz
uygulanmasını etkinleştirmek,uygulanma etkinleştirmek
mükerrirlere özgü,mükerrir özgü
zorunluluk bulunması,zorunluluk bulunmas
dairelerinin yerleşmiş,daire yerleş
yerleşim yeri,yerleş yer
yaralamaya teşebbüs,yaralama teşebbüs
istem gibi,iste gip
şartın dışında,şar dış
yer alan,yer ala
tedbirlerden birine,tedbir bir
kastının yoğunluğu,kastı yoğunluk
edip etmediklerinin,edip etmedik
kanaate varılması,kanaate varılmas
süresini iyi,süre i
izni almak,izni almak
taşımasa bile,taşımas bil
uyulmadan gerekçeden,uyulma gerekçe
işte çalıştırılmasına,iş çalıştırılma
ücret tarifesinin,ücret tarife
önünde bulundurularak,ön bulundurularak
ödenmeyen kısma,ödenmeye kısma
çalışması karşılığı,çalışmas karşılık
isteyen yazısına,isteye yazı
uygulanıp uygulanmayacağının,uygulanıp uygulanmayacak
her ne,her ne
esasına dayanan,esa dayana
adli para,adli par
iştirak edilmemiştir,iştirak edilmemiş
memnuniyetsizliği bulunmayan,memnuniyetsizlik bulunmaya
yargılamaya toplanan,yargılama toplana
dördüncü fıkrasında,dördüncü fıkra
anlaşılmaktadır ayrıca,anlaşılmak ayrıç
bulunmaktadır hâl,bulunmak hâl
gereği görüşülüp,gerek görüşülüp
kasten yaralama,kaste yarala
gazetede yayımlanarak,gazete yayımlanarak
görüş almaksızın,görüş almaksız
savcısından görüş,savcı görüş
hafifletilmesi usul,hafifletilmes usul
zamanaşımının durduğu,zamanaşım durduk
kesici delici,kesiç deliç
yöntem benimsenmiş,yönte benimse
geçerli olsa,geçerli ol
adalet bakanlığının,adalet bakanlık
mala zarar,mal zarar
bahse konu,bah ko
iradesine bağlı,irade bağlı
gerektiğinin gözetilmemesi,gerektik gözetilmemes
kararla uyumlu,karar uyumlu
birinci fıkrasının,birinci fıkra
danıştay kanunu,danıştay kan
dışında tamamen,dış tamame
zarar verme,zarar verme
denetimine olanak,denetim olanak
hareketin kimden,hareket k
gizliliğini ihlalden,gizlilik ihlal
herkesi inandıracak,herkes inandıracak
manevi tazminata,manev tazmina
işveren sorumluluk,işvere sorumluluk
duruşmadan bağışık,duruşma bağışık
hiçbir istisna,hiçbir istisna
giderilebilecek ölçüde,giderilebilecek ölçü
asıl alacak,asıl alacak
hesaplanarak toplam,hesaplanarak topla
tedbirlerinin infazı,tedbir infaz
kişiler yerleştirildiği,kişi yerleştirildik
sırf saldırıda,sırf saldırı
esasını oluşturan,esa oluştura
unsurları kapsayacak,unsur kapsayacak
şikayette bulunarak,şikayet bulunarak
bağımlılığından kurtulmalarına,bağımlılık kurtulma
sevki sağlanarak,sevki sağlanarak
müdürlüğü terörle,müdürlük terör
içtima kuralı,içtima kural
eşyanın gümrüklenmiş,eşya gümrükle
faydalanabilir düzenlemesi,faydalanabilir düzenlemes
doğrular nitelikteki,doğru nitelik
ibrahim abdulkadir,ibrah abdulkadir
izlenimini veren,izlenim vere
davasını açmaya,dava açma
araştırmaya başlar,araştırma baş
kolluk görevlileri,kolluk görevli
toplayarak muhafaza,toplayarak muhafaz
arayarak şikayetçinin,arayarak şikayetçi
şikayetçinin kömürlüğünde,şikayetçi kömürlük
evinde yatak,ev yatak
yatak odasında,yatak oda
çekpas sapı,çekpas sap
diyeceği sorulmadan,diyecek sorulma
kuruluş görev,kuruluş görev
kaçakçılıkla mücadele,kaçakçılık mücadel
gerektirmediğinin tartışılmaması,gerektirmedik tartışılmamas
iddianamede gösterilmeyen,iddianame gösterilmeye
gününde oy,gün oy
okunarak gereği,okunarak gerek
hayat fonksiyonlarına,hayat fonksiyon
aynı bentte,aynı bent
yapılacak koşulları,yapılacak koşul
hükme bağlanmış,hükme bağla
ulaştığı sonuçların,ulaştık sonuç
yetkisini kısıtlayacak,yetki kısıtlayacak
tıbbi müdahale,tıbbi müdahal
suçta kullanılan,suç kullanıla
kaynaklanan tazminat,kaynaklana tazminat
şirketi taraf,şirket taraf
sosyal hizmetler,sosyal hizmet
gerektiren suçlarda,gerektire suç
değiştirmeyecek itirazlarının,değiştirmeyecek itiraz
basit yargılama,basit yargıla
k m,k m
delici alet,deliç alet
adresin tebligata,adre tebliga
buraya yapılır,bura yapılır
bozulması lüzumunun,bozulmas lüzum
segbis sistemi,segbis siste
hapse çevrileceğine,hap çevrilecek
konulmuştur mahkeme,konul mahke
kovuşturma evresine,kovuşturma evre
uyarlama yargılaması,uyarla yargılamas
iş bölümü,iş böl
kararında belirtildiği,karar belirtildik
cezada orantılılık,ceza orantılılık
derhal uygulanması,derhal uygulanmas
meşru müdafaa,meşru müdafaa
etmediklerinin sorulmadığı,etmedik sorulmadık
kimin başlattığının,k başlattık
çalıştığı günler,çalıştık gün
kesinleşmiş dosyalarda,kesinleş dosya
tespitine çalışılması,tespit çalışılmas
s k,s k
alt sınırdan,alt sınır
sigorta şirketi,sigor şirket
cezaya hükmedilirken,ceza hükmedilir
tanınmadan iddianamede,tanınma iddianame
sürülen düşünce,sürüle düş
gerçekleşmiş bulunduğunun,gerçekleş bulunduk
sürüklenen çocuk,sürüklene çocuk
hesap hatası,hesap hatas
kesin nitelikte,ke nitelik
uygulanabilecek dosyalar,uygulanabilecek dosya
ilk derece,ilk dereç
katılmak istemediğini,katılmak istemedik
çevrileceği ihtarı,çevrilecek ihtar
meydana gelen,meyda gele
olanak sağlayacak,olanak sağlayacak
az süreli,az sürel
