yöndeki görüşüne,yö görüş
oluşan inanç,oluşa inanç
bozmayı gerektirmiş,bozma gerektir
geriye yürümez,geri yürümez
v italya,v italya
scoppola v,scoppol v
edilmekle evrak,edilmek evrak
any mah,any mah
görüşülüp düşünüldü,görüşülüp düşünül
insan hakları,in hak
başsavcılığına tevdiine,başsavcılık tevdiin
resmi gazetede,resmi gazete
adil yargılanma,adil yargılanma
müsait olmayacak,müsait olmayacak
belirlenmiştir amaç,belirle amaç
zamanaşımına uğrama,zamanaşım uğra
duruşmanın yapılmamış,duruşma yapılmamış
yapılmamış sayılamayacağı,yapılmamış sayılamayacak
dört aydan,dört ay
yürürlüğe giren,yürürlük gire
çoğunluğun aksi,çoğunluk aksi
açıklanmasının geri,açıklanma ger
yargılamayı gerektirmediğinden,yargılama gerektirmedik
takdirine gösterilen,takdir gösterile
miktarının dört,miktar dört
mezkur ihbarnamede,mezkur ihbarname
değerlendirilmesinde zorunluluk,değerlendirilme zorunluluk
trafik kazasından,trafik kaza
silahtan sayılan,silah sayıla
yürürlükte bulunan,yürürlük buluna
arama hürriyeti,ara hürriyet
mahalli mahkemece,mahalli mahkemeç
konuyu ayrıntılı,konu ayrıntıl
teşvik etmek,teşvik etmek
durumda mutlak,dur mutlak
ifadeyle lehe,ifade leh
verilmediği sürece,verilmedik süreç
gösterilen gerekçeye,gösterile gerekçe
doğurmaya elverişli,doğurma elverişli
aksi yöndeki,aksi yö
süreklilik gösteren,süreklilik göstere
denetimine olanak,denetim olanak
hazır edilmeksizin,hazır edilmeksiz
sonuca etkili,sonuç etkil
seçimlik cezalardan,seçimlik ceza
yerleşim yeri,yerleş yer
oy birliğiyle,oy birlik
şekline dönüşmüştür,şekl dönüş
taraflarının iradesine,taraf irade
takdirin denetime,takdir denet
denetime tabii,denet tabii
nedeni yapılmamıştır,nede yapılmamış
ileri sürülen,i sürüle
sonucunda oluşan,sonuç oluşa
suça sürüklenen,suç sürüklene
açıklanan delillere,açıklana delil
katılmanın hükümsüz,katılma hükümsüz
mülkiyet hakkına,mülkiyet hakk
belgede sahtecilik,belge sahtecilik
altı aya,al a
kararla uyumlu,karar uyumlu
hukuki durumunun,hukuki durum
olamayacağı gözden,olamayacak göz
delillere mahkemenin,delil mahkeme
üst sınırı,üst sınır
mükerrirlere özgü,mükerrir özgü
zamanaşımının durduğu,zamanaşım durduk
batına nafiz,bat nafiz
kesici delici,kesiç deliç
yanılgıya düşülerek,yanılgı düşülerek
gerçek kişilere,gerçek kişi
zorunluluk bulunması,zorunluluk bulunmas
şeklinde sınırlama,şekl sınırla
uygulanmaya başladığı,uygulanma başladık
iştirak edilmemiştir,iştirak edilmemiş
ele alınmasının,el alınma
yargılamaya toplanan,yargılama toplana
kararları geriye,karar geri
istem gibi,iste gip
yaralamaya teşebbüs,yaralama teşebbüs
ön şartın,ön şar
gereği görüşülüp,gerek görüşülüp
gazetede yayımlanarak,gazete yayımlanarak
geçerli olsa,geçerli ol
dairelerinin yerleşmiş,daire yerleş
kısmın tamamı,kısm tama
tespitine çalışılması,tespit çalışılmas
tedbirlerden birine,tedbir bir
eylemine uyan,eylem uya
iradelerinin çelişmesi,irade çelişmes
işte çalıştırılmasına,iş çalıştırılma
kuruluş görev,kuruluş görev
çevrileceği ihtarı,çevrilecek ihtar
edip etmediklerinin,edip etmedik
etmediklerinin sorulmadığı,etmedik sorulmadık
çalıştığı günler,çalıştık gün
uyulmadan gerekçeden,uyulma gerekçe
danıştay kanunu,danıştay kan
isteyen yazısına,isteye yazı
uygulanmasını etkinleştirmek,uygulanma etkinleştirmek
sözleşmesinin kanunsuz,sözleşme kanunsuz
uygulanıp uygulanmayacağının,uygulanıp uygulanmayacak
gerçekleşmiş bulunduğunun,gerçekleş bulunduk
bulunmaktadır hâl,bulunmak hâl
müteakip işlemlerin,müteakip işle
adli para,adli par
uygulanarak sonuçlandırılan,uygulanarak sonuçlandırıla
olanak sağlayacak,olanak sağlayacak
adalet bakanlığının,adalet bakanlık
yer alan,yer ala
mala zarar,mal zarar
tıbbi müdahale,tıbbi müdahal
anlaşılmaktadır ayrıca,anlaşılmak ayrıç
her ne,her ne
iddianamede gösterilmeyen,iddianame gösterilmeye
memnuniyetsizliği bulunmayan,memnuniyetsizlik bulunmaya
zarar verme,zarar verme
okunarak gereği,okunarak gerek
uzlaşmanın sağlanması,uzlaşma sağlanmas
gizliliğini ihlalden,gizlilik ihlal
herkesi inandıracak,herkes inandıracak
manevi tazminata,manev tazmina
bilgileri gösterilmemek,bilgi gösterilmemek
kastının yoğunluğu,kastı yoğunluk
ahmet demir,ahmet demir
işveren sorumluluk,işvere sorumluluk
hiçbir istisna,hiçbir istisna
giderilebilecek ölçüde,giderilebilecek ölçü
asıl alacak,asıl alacak
hesaplanarak toplam,hesaplanarak topla
tedbirlerinin infazı,tedbir infaz
kişiler yerleştirildiği,kişi yerleştirildik
sırf saldırıda,sırf saldırı
etkileme derecelerinin,etkile derece
unsurları kapsayacak,unsur kapsayacak
resen gözetilebileceğinden,rese gözetilebilecek
şikayette bulunarak,şikayet bulunarak
bağımlılığından kurtulmalarına,bağımlılık kurtulma
müdürlüğü terörle,müdürlük terör
izlenimini veren,izlenim vere
davasını açmaya,dava açma
araştırmaya başlar,araştırma baş
toplayarak muhafaza,toplayarak muhafaz
arayarak şikayetçinin,arayarak şikayetçi
şikayetçinin kömürlüğünde,şikayetçi kömürlük
evinde yatak,ev yatak
yatak odasında,yatak oda
kötüye kullanma,kötü kullanma
kısmi ikrarı,kısmi ikrar
çekpas sapı,çekpas sap
delici alet,deliç alet
buraya yapılır,bura yapılır
yöntem benimsenmiş,yönte benimse
kaçakçılıkla mücadele,kaçakçılık mücadel
kasten yaralama,kaste yarala
iş bölümü,iş böl
görüş almaksızın,görüş almaksız
savcısından görüş,savcı görüş
şartın dışında,şar dış
bahse konu,bah ko
gerektiğinin gözetilmemesi,gerektik gözetilmemes
hareketin kimden,hareket k
hayat fonksiyonlarına,hayat fonksiyon
ulaştığı sonuçların,ulaştık sonuç
k m,k m
kaynaklanan tazminat,kaynaklana tazminat
şirketi taraf,şirket taraf
birinin işlevinin,bir işlev
sosyal hizmetler,sosyal hizmet
hapse çevrileceğine,hap çevrilecek
gününde oy,gün oy
yapılacak koşulları,yapılacak koşul
gerektiren suçlarda,gerektire suç
bozulması lüzumunun,bozulmas lüzum
dördüncü fıkrasında,dördüncü fıkra
uygulanabilecek dosyalar,uygulanabilecek dosya
basit yargılama,basit yargıla
hesap hatası,hesap hatas
esasına dayanan,esa dayana
hükme bağlanmış,hükme bağla
aynı bentte,aynı bent
kararını kapsayan,karar kapsaya
güvenlik tedbirlerinin,güvenlik tedbir
gününü bildirir,gün bildirir
ödenmeyen kısma,ödenmeye kısma
çalışması karşılığı,çalışmas karşılık
gerekçeden yoksun,gerekçe yok
sürekli zayıflaması,sürekli zayıflamas
zararın ağırlığı,zarar ağırlık
tanınmadan iddianamede,tanınma iddianame
hafifletilmesi usul,hafifletilmes usul
birinci fıkrasının,birinci fıkra
hariç olmak,hariç olmak
sigorta şirketi,sigor şirket
sürülen düşünce,sürüle düş
az süreli,az sürel
kesinleşmiş dosyalarda,kesinleş dosya
dışında tamamen,dış tamame
kabil kararlardan,kabil karar
yaşından küçük,yaş küçük
adresin tebligata,adre tebliga
ihbarname içeriği,ihbarna içerik
sonuçların iddia,sonuç iddia
hale getirme,hale getirme
kesin nitelikte,ke nitelik
s k,s k
maddesindeki bazı,maddes baz
çalışılması bunun,çalışılmas bu
suçta kullanılan,suç kullanıla
verilmesinde isabet,verilme isabet
görülmüş olduğundan,görül olduk
iradesine bağlı,irade bağlı
istinaf başvurusunun,istinaf başvuru
cezada orantılılık,ceza orantılılık
segbis sistemi,segbis siste
isteminde bulunulduğundan,istem bulunulduk
kovuşturma evresine,kovuşturma evre
derhal uygulanması,derhal uygulanmas
organlarından birinin,organ bir
üçüncü fıkrası,üçüncü fıkras
uyarlama yargılaması,uyarla yargılamas
sürüklenen çocuk,sürüklene çocuk
kararında belirtildiği,karar belirtildik
başkanlığına gönderilmesine,başkanlık gönderilme
tapu iptali,tapu iptal
durduğu sürenin,durduk süre
meydana gelen,meyda gele
sistemi aracılığıyla,siste aracılık
ilk derece,ilk dereç
alt sınırdan,alt sınır
bilgilerinin kullanılması,bilgi kullanılmas
